utility,event_year,label,filename,listing,source_url
SDG&E,2018,"Jan. 27-29, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-jan-27-29-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf
SDG&E,2018,"Nov. 11-16, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-nov-11-16-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-nov-11-16-2018.pdf
SDG&E,2018,"Oct. 15-16, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-15-16-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-15-16-2018.pdf
SDG&E,2018,"Oct. 19-20, 2018 Pro-Active De-Energization Post Event Report",sdge-de-energization-report-oct-19-20-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-oct-19-20-2018.pdf
SDG&E,2018,"Nov. 8-9, 2018: De-Energization Post Event Report",sdge-de-energization-report_nov-89-2018.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report_nov-89-2018.pdf
SDG&E,2019,"Oct. 10-11, 2019 Pro-Active De-Energization Post Event Report",sdge-post-event-psps-report-october-10-to-11-2019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sdge-post-event-psps-report-october-10-to-11-2019.pdf
SDG&E,2019,"Oct. 20-Nov. 1, 2019 Pro-Active De-Energization Post Event Report",sdge-post-event-psps-report_october-20november-1_0.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sdge-post-event-psps-report_october-20november-1_0.pdf
SDG&E,2019,"Nov. 17-18, 2019: Pro-Active De-Energization Post Event Report",sdge-psps-report-nov-1719-2019-1232019.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sdge/sdge-psps-report-nov-1719-2019-1232019.pdf
SDG&E,2020,"Oct. 26-27, 2020: PSPS Post Event Report",sdge-oct-26-27-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sdge-oct-26-27-2020-psps-post-event-report.pdf
SDG&E,2020,"Dec. 23-24, 2020: PSPS Post Event Report",sdge-psps-post-event-report_december-23-24-final.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-post-event-report_december-23-24-final.pdf
SDG&E,2020,"Nov. 26-Dec. 9, 2020: PSPS Post Event Report",sdge-psps-postevent-reportnov-26dec-9-12232020.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-postevent-reportnov-26dec-9-12232020.pdf
SDG&E,2020,"Sept. 28-29, 2020: PSPS Post Event Report",sdge-sept-28-29-2020-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/sdge-sept-28-29-2020-psps-post-event-report.pdf
SDG&E,2021,"Jan 14-16, 2021: SDGE PSPS Post Event Report",jan-1416-2021-sdge-psps-post-event-report.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/jan-1416-2021-sdge-psps-post-event-report.pdf
SDG&E,2023,"October 29, 2023: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-oct-2931-2023-11-14-2023.pdf,archive,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sdge-psps-postevent-report-oct-2931-2023-11-14-2023.pdf
SDG&E,2024,"December 9, 2024: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sdge-psps-postevent-report-dec-911-2024--1-10-2025.pdf
SDG&E,2025,"January 20, 2025: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf
SDG&E,2025,"January 7, 2025: SDG&E PSPS Post-Event Report",r1812005-sdge-psps-postevent-reportjan-716-2025-eserve.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-reportjan-716-2025-eserve.pdf
