match,utility,report_id,warehouse_event,dataset_customers,warehouse_customers,customers_diff,customers_diff_pct,dataset_first_date,warehouse_first_date,first_date_diff_days,dataset_last_date,warehouse_last_date,last_date_diff_days,dataset_counties,warehouse_counties,dataset_county_names,warehouse_county_names,dataset_time_source,dataset_first_is_listing_date
both,SCE,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,SCE PSPS Event 12/08/23,5311,5311,0,0.0,2023-12-08,2023-12-09,,2023-12-11,2023-12-11,0,5,5,Los Angeles; Orange; Riverside; San Bernardino; Ventura,Los Angeles; Orange; Riverside; San Bernardino; Ventura,,True
both,SCE,sce__20240808sce_psps_post_event_reportdeenergizedfinal,SCE PSPS Event 08/07/24,21,21,0,0.0,2024-08-08,2024-08-08,0,2024-08-18,2024-08-18,0,3,3,Kern; Los Angeles; San Bernardino,Kern; Los Angeles; San Bernardino,PDF page 19,False
both,SCE,sce__r1812005_sce_psps_post_event_for_august_24_2024,SCE PSPS Event 08/23/24,3,3,0,0.0,2024-08-24,2024-08-24,0,2024-08-24,2024-08-24,0,1,1,Inyo,Inyo,PDF page 22,False
both,SCE,sce__r1812005_sce_psps_post_event_report_for_9_7_24_de_energization_event,SCE PSPS Event 09/07/24,488,489,-1,-0.2,2024-09-07,2024-09-07,0,2024-09-11,2024-09-12,-1,3,3,Los Angeles; San Bernardino; Santa Barbara,Los Angeles; San Bernardino; Santa Barbara,PDF page 8,False
both,SCE,sce__r1812005_sce_psps_post_event_for_october_1_2024_de_energization,SCE PSPS Event 10/02/24,15,1,14,1400.0,2024-10-02,2024-10-01,,,2024-10-01,,2,2,Fresno; Madera,Fresno; Madera,,True
both,SCE,sce__r1812005_sce_psps_post_event_for_october_17_2024_de_energization,SCE PSPS Event 10/17/24,11381,11381,0,0.0,2024-10-17,2024-10-17,0,2024-10-19,2024-10-19,0,6,4,Inyo; Los Angeles; Mono; Orange; Riverside; San Bernardino,Inyo; Los Angeles; Riverside; San Bernardino,PDF page 81,False
both,SCE,sce__r1812005_sce_psps_post_event_for_october_27_2024_de_energization,SCE PSPS Event 10/27/24,89,89,0,0.0,2024-10-27,2024-10-27,0,2024-10-29,2024-10-29,0,2,2,Inyo; San Bernardino,Inyo; San Bernardino,PDF page 22,False
both,SCE,sce__r1812005sce_psps_postevent_for_november_4_2024_deenergization,SCE PSPS Event 11/04/24,71044,71044,0,0.0,2024-11-04,2024-11-04,0,2024-11-08,2024-11-08,0,8,8,Kern; Los Angeles; Orange; Riverside; San Bernardino; Santa Barbara; Tulare; Ventura,Kern; Los Angeles; Orange; Riverside; San Bernardino; Santa Barbara; Tulare; Ventura,PDF page 92,False
both,SCE,sce__r1812005sce_psps_postevent_for_november_13_2024_deenergization,SCE PSPS Event 11/11/24,637,637,0,0.0,2024-11-13,2024-11-13,0,2024-11-13,2024-11-13,0,1,1,Mono,Mono,PDF page 21,False
both,SCE,sce__r1812005sce_psps_postevent_for_november_20_2024_deenergization,SCE PSPS Event 11/18/24,1251,1251,0,0.0,2024-11-20,2024-11-20,0,2024-11-23,2024-11-23,0,2,2,Inyo; Mono,Inyo; Mono,PDF page 21,False
