utility,event_year,label,filename,listing,source_url,report_id,read_before
SCE,2024,"June 14, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-post-event-report-for-61424-high-threat-event.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-post-event-report-for-61424-high-threat-event.pdf,sce__r1812005sce_psps_post_event_report_for_61424_high_threat_event,
SCE,2024,"December 26, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-december-26-2024-highthreat.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-december-26-2024-highthreat.pdf,sce__r1812005sce_psps_postevent_for_december_26_2024_highthreat,
SCE,2024,"December 31, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-december-31-2024-highthreat.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-december-31-2024-highthreat.pdf,sce__r1812005sce_psps_postevent_for_december_31_2024_highthreat,
SCE,2024,"November 11, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-november-13-2024-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-13-2024-deenergization.pdf,sce__r1812005sce_psps_postevent_for_november_13_2024_deenergization,
SCE,2024,"November 18, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-november-20-2024-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-20-2024-deenergization.pdf,sce__r1812005sce_psps_postevent_for_november_20_2024_deenergization,
SCE,2024,"November 28, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-november-28-2024-highthreat-event.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-28-2024-highthreat-event.pdf,sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,
SCE,2024,"November 4, 2024: SCE PSPS Post-Event Report",r1812005sce-psps-postevent-for-november-4-2024-deenergization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005sce-psps-postevent-for-november-4-2024-deenergization.pdf,sce__r1812005sce_psps_postevent_for_november_4_2024_deenergization,
SCE,2025,"January 3, 2025: SCE PSPS Post-Event Report",20250104sce-psps-post-event-reportdeenergizedfinal.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/20250104sce-psps-post-event-reportdeenergizedfinal.pdf,sce__20250104sce_psps_post_event_reportdeenergizedfinal,
SCE,2025,"January 20, 2025: SCE PSPS Post-Event Report",20250120sce-psps-post-event-reportdeenergizedfinal.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/20250120sce-psps-post-event-reportdeenergizedfinal.pdf,sce__20250120sce_psps_post_event_reportdeenergizedfinal,round2:r2_sce_2025_2026
SCE,2025,"August 11, 2025: SCE PSPS Post-Event Report ",r1812005-sce-psps-post-event-for-august-10-2025-de--energization.pdf,current,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sce-psps-post-event-for-august-10-2025-de--energization.pdf,sce__r1812005_sce_psps_post_event_for_august_10_2025_de_energization,
