amendment_file,amendment_url,amendment_label,original_report_id,original_file
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__sce_psps_post_event_report_10_11_2023_event,sce-psps-post-event-report-10-11-2023-event.pdf
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__20231029_sce_psps_post_event_reportdeenergizedfinal,20231029-sce-psps-post-event-reportdeenergizedfinal.pdf
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,r1812005-sce-psps-postevent-report-for-11092023-deenergization-event.pdf
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__r1812005_sce_psps_post_event_report_for_11_20_23_de_energization_event,r1812005-sce-psps-post-event-report-for-11-20-23-de-energization-event.pdf
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__r1812005_sce_psps_post_event_report_for_11_26_23_high_threat_event,r1812005-sce-psps-post-event-report-for-11-26-23-high-threat-event.pdf
r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf,Consolidated corrections to 2023 SCE reports,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,r1812005-sce-psps-post-event-report-for-12-9-23-de-energization-event.pdf
sce-jan-1221-2021-psps-post-event-report-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-jan-1221-2021-psps-post-event-report-amended.pdf,Amended,sce__jan_1221_2021_sce_psps_post_event_report,jan-1221-2021-sce-psps-post-event-report.pdf
r1812005-sdge-corrections-to-2021-psps-postseason-and-postevent-reports--5-6-2022.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-corrections-to-2021-psps-postseason-and-postevent-reports--5-6-2022.pdf,Corrections to 2021 post-season and post-event reports,sdge__r1812005_sdge_psps_postevent_report_112426,r1812005-sdge-psps-postevent-report-112426.pdf
sce-amended-sept-5-11-2020-psps-post-event-report.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpuc_public_website/content/news_room/news_and_updates/sce-amended-sept-5-11-2020-psps-post-event-report.pdf,Amended,sce__sce_sept_5_11_2020_psps_post_event_report,sce-sept-5-11-2020-psps-post-event-report.pdf
pge-psps-postevent-report-nov-20-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-nov-20-2019-amended.pdf,Amendment,pge__pge_public_safety_power_shutoff_nov_2021_2019_report,pge-public-safety-power-shutoff-nov-2021-2019-report.pdf
pge-psps-postevent-report-oct-2629-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2629-2019-amended.pdf,Amendment,pge__pge_esrb8_report_for_oct_26_29_2019,pge-esrb8-report-for-oct-26-29-2019.pdf
pge-psps-postevent-report-oct-2325-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2325-2019-amended.pdf,Amendment,pge__pge_public_safety_power_shutoff_oct_2325_2019_report,pge-public-safety-power-shutoff-oct-2325-2019-report.pdf
pge-public-safety-power-shutoff-oct-912-reportamended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/pge-public-safety-power-shutoff-oct-912-reportamended.pdf,Amended,pge__pge_public_safety_power_shutoff_oct_912_report,pge-public-safety-power-shutoff-oct-912-report.pdf
pge-psps-postevent-report-oct-56-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-56-2019-amended.pdf,Amendment,pge__pge_public_safety_power_shutoff_oct_56_2019_report,pge-public-safety-power-shutoff-oct-56-2019-report.pdf
pge-psps-postevent-report-sept-25-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-sept-25-2019-amended.pdf,Amendment,pge__public_safety_power_shutoff_sept_25_27_2019,public-safety-power-shutoff-sept-25-27-2019.pdf
pge-psps-postevent-report-june-79-2019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-june-79-2019-amended.pdf,Amendment,pge__pge_psps_report_letter_june_7_9_2019,pge-psps-report-letter-june-7-9-2019.pdf
sce-psp-post-event-report-oct-2126-2019-11262019.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psp-post-event-report-oct-2126-2019-11262019.pdf,Amended,sce__sce_post_event_reporting_october_21_through_october_26_2019,sce-post-event-reporting-october-21-through-october-26-2019.pdf
sce-psps-postevent-report-sept-49-2019-9232019-amended.pdf,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-sept-49-2019-9232019-amended.pdf,Amended,sce__sce_post_event_reporting_september_4_through_september_8_2019,sce-post-event-reporting-september-4-through-september-8-2019.pdf
