model,log_likelihood,top5%_precision,top1%_precision,AUC,lift_top5%,xi,train_years,eval_year,eval_start,eval_end,eval_days,eval_events,params_sha256
HPP,-5204.190183871407,0.00019434457292780098,0.0,0.5,0.07909745436148169,,2020;2021;2022;2023,2024,2024-01-01,2024-12-31,366,741,ee6fc19c9388c2ab23f693a0a71ef993844c1ad3793d242692657aafe08d9a57
NHPP,-4877.6157062377415,0.005344475755514527,0.00298804780876494,0.7587998731448378,2.1751799949407467,0.0,2020;2021;2022;2023,2024,2024-01-01,2024-12-31,366,741,ee6fc19c9388c2ab23f693a0a71ef993844c1ad3793d242692657aafe08d9a57
cNHPP,-4873.631516436059,0.004858614323195024,0.0034860557768924302,0.7602070943760917,1.9774363590370423,0.2,2020;2021;2022;2023,2024,2024-01-01,2024-12-31,366,741,ee6fc19c9388c2ab23f693a0a71ef993844c1ad3793d242692657aafe08d9a57
